Radius,Ulna,MCP1,MCP3,MCP5,PIP1,PIP3,PIP5,DIP3,DIP5
15,22,8,6,6,4,3,3,3,3
17,26,10,8,6,4,4,3,4,4
21,30,19,12,12,7,6,6,6,7
27,39,34,23,25,14,13,13,10,11
48,56,47,36,36,23,20,19,16,16
77,73,56,45,43,30,23,22,21,20
96,80,60,47,46,31,24,23,22,21
106,84,64,51,50,33,26,25,24,23
